,policy,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
10657,,521581782.3373013,389229068.71292466,30700000.0,19509.633504475638,0.0001882484882391535,0.0011816552362303645,0.19275926822189612
10658,,143308962.41256508,389229068.71292466,30700000.0,4603.527829735538,0.0001856243414994055,0.0003407758041096632,0.048559845137266335
10659,,16282356.411087193,389229068.71292466,30700000.0,553.376362436379,0.001841294860920762,0.0,0.004618939058104556
10660,,294244560.3157082,389229068.71292466,30700000.0,7997.98610931955,0.0880143018729924,0.0,0.0
10661,,52115804.71066922,389229068.71292466,30700000.0,1380.6712321183727,0.005152170322522829,0.0028061219222043406,0.004745185827124179
10662,,18150186.649133857,389229068.71292466,30700000.0,497.6663521499451,0.0018587558659084445,0.0,0.003987798628338261
10663,,123227365.2730603,389229068.71292466,30700000.0,5095.762280230675,0.047046239954682795,0.0,0.012042213289438827
10664,,79083061.18191408,389229068.71292466,30700000.0,2560.9290954216376,0.0018543553682168292,0.0008496040165132212,0.024615239690276413
10665,,2878549.286771847,389229068.71292466,30700000.0,140.07680091828868,0.0,0.0008258977311483766,0.0
10666,,37364702.30536534,389229068.71292466,30700000.0,1240.2120413719974,0.0018469349248864757,0.0,0.012090926642751213
10667,,114920698.45886034,389229068.71292466,30700000.0,3157.5634380586166,0.001852788838803808,0.0,0.03256745365227847
10668,,11297121.27282282,389229068.71292466,30700000.0,279.19097950257236,0.001870200138195422,0.0,0.0015726593817152617
10669,,370508541.07084185,389229068.71292466,30700000.0,11253.012251215448,0.01826504490279637,0.0,0.10082403011438104
10670,,70953520.78079428,389229068.71292466,30700000.0,3067.7909092162645,0.01380828928168876,0.0,0.02095214876738525
10671,,61823591.74430592,389229068.71292466,30700000.0,2784.955193332698,0.001847422530643849,0.0,0.02866430766512516
10672,,24022093.038670927,389229068.71292466,30700000.0,854.7581650063469,0.0,0.0003444728221722725,0.00890415775404956
10673,,144928816.2359553,389229068.71292466,30700000.0,4511.789078714693,0.03385391204487444,0.0,0.017724026454121238
