,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,1841440851.8420568,0.0,0.0,0.0,0.9410939832037662,0.7529526558178986,0.05553940753606253
std,1338518263.7171197,0.0,0.0,0.0,0.8789720421621194,1.2344276141833874,0.1644091744015755
min,40496794.28869292,0.0,0.0,0.0,0.0,0.0,0.0
25%,576451489.5541373,0.0,0.0,0.0,0.11813613473209121,0.0,0.0
50%,1706289374.3347502,0.0,0.0,0.0,0.5471716114774572,0.06732870030990595,0.0
75%,2913745647.3808193,0.0,0.0,0.0,2.0196542658628136,0.9138247516580158,0.0
max,6612336886.690141,0.0,0.0,0.0,2.9063042487113924,3.7804211276966697,1.18008507168455
