,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,policy,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
10,27.0,133.65518481008536,10,0.6149353633925225,112.22648433678997,1.5,0.7277925875077206,279.24604046932586,10,0.5017483491873108,265.48850151537795,1.5,0.6326867751405394,30.12648611513214,1.5,0.09392097672643317,1.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,No_measures,dikesnet,No_measures,1264545204.190897,0,0.0,0.0,0.09756535825542909,0.33482068789948105,0.7214859107022613
11,132.0,296.75283688933905,1.0,0.7116701385883887,299.9292619770044,1.5,0.3796922677616225,76.57954226395223,1.0,0.3980422629854878,177.9762383259617,10,0.30347184402779603,299.87537024819255,10,0.8348899487120156,1.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,No_measures,dikesnet,No_measures,575753830.6667572,0,0.0,0.0,0.13622534906800188,0.6524241968360279,0.0
12,112.0,98.96587313410762,1.0,0.22823440696870115,169.31736733382706,1.0,0.65713580779685,98.0494848238566,10,0.33934021349578025,141.4711249794336,1.0,0.9335515817785559,34.46700390336659,10,0.022994802838642678,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,No_measures,dikesnet,No_measures,3071575626.3047686,0,0.0,0.0,2.0394857648656224,0.3111087481746061,0.38051638847288083
13,34.0,262.52896923899647,10,0.2917616665639432,325.8441826592825,10,0.8675421062550022,233.19319129881333,1.0,0.5239621052739778,314.8871610501344,1.5,0.2957339491547866,38.28321024530262,10,0.6143938449048875,1.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,No_measures,dikesnet,No_measures,3471666847.077898,0,0.0,0.0,2.040212774708868,0.0,0.0
14,34.0,225.37021897222243,10,0.3750117438078384,344.89847033901333,10,0.4587842663954145,290.703955997296,1.5,0.006619138698074877,144.18325987068943,1.5,0.10404017348583941,234.21856755464506,1.0,0.9898484419695301,2.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,No_measures,dikesnet,No_measures,4707195717.426352,0,0.0,0.0,1.0925972373006565,3.611003516030605,0.0
15,8.0,192.05670033183145,10,0.9003762971083276,305.2519601779238,1.0,0.3199164731871177,51.86408740115887,1.0,0.17139030290864057,167.51316347563758,10,0.13576878126026445,117.7934980537108,1.5,0.8563965683687034,2.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,No_measures,dikesnet,No_measures,2019412760.1728776,0,0.0,0.0,0.16998023121120437,3.1685153985896375,0.0
16,111.0,206.3182298904834,1.5,0.47453023360004104,40.11711041811262,1.5,0.27492051277966945,325.41631840519557,1.5,0.5905554621853223,281.8689716827588,10,0.40357195632277854,344.1921560744915,10,0.47770588097141614,1.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,No_measures,dikesnet,No_measures,559023365.7362841,0,0.0,0.0,0.37017127500191016,0.020979215963944,0.0
17,52.0,105.76788165238656,10,0.7395703186087484,142.22163484233073,10,0.7044351696111352,185.21973396445514,1.5,0.17245965106592936,270.2630653018882,1.0,0.280939379884988,245.80662771655057,1.0,0.8570607051523225,3.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,No_measures,dikesnet,No_measures,1632231668.0078297,0,0.0,0.0,0.019156617273370008,2.553996969725221,0.0
18,70.0,269.71087607621826,1.5,0.6004482410569569,280.9552915203197,1.5,0.7686830609323937,260.0107669981133,1.0,0.2723778502515992,162.1696347212932,10,0.08122578056475178,198.67323601927689,10,0.82885055065217,2.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,No_measures,dikesnet,No_measures,1189421679.7764177,0,0.0,0.0,0.10320591944867015,1.5398413451763022,0.0
19,120.0,267.86435467394915,1.5,0.7644938175594691,270.88930139253995,1.0,0.39120462680520135,267.9699333837922,10,0.13585145246254574,239.8656499164042,1.0,0.8635426322774306,85.59453564919261,10,0.9782345023039034,3.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,No_measures,dikesnet,No_measures,2494389441.1130433,0,0.0,0.0,0.12151797229554723,3.7010913958257357,0.0
20,69.0,140.0855815485582,10,0.7622035043204003,128.54768639163615,10,0.6873651845948585,243.9865914589161,1.5,0.7875593293325794,303.62440993010347,1.0,0.8975101030413357,160.41019213334306,10,0.010500519108345253,1.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,No_measures,dikesnet,No_measures,1433363221.5651927,0,0.0,0.0,0.04805097787160689,0.14836267503792322,1.18008507168455
21,5.0,315.09623620940744,10,0.3589397249271181,180.19859019675292,10,0.959623691573915,285.540461912247,10,0.6560382130423283,70.31626028151405,1.5,0.5552333801011285,164.94733917466132,10,0.7858995470694212,2.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,No_measures,dikesnet,No_measures,1682914586.3461225,0,0.0,0.0,1.2538100331845865,0.0,0.0
22,94.0,138.21825617260146,1.5,0.8764337020282601,172.01680176202765,1.0,0.5342260193865648,39.61550528661781,10,0.1065923706974525,82.9929305815007,1.0,0.32969378908313973,290.56182386469277,1.0,0.11073405049398667,2.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,No_measures,dikesnet,No_measures,2215811011.7920055,0,0.0,0.0,0.05137425400838003,3.6399775589911463,0.15114849972624853
23,118.0,225.1965450101272,1.5,0.6478656988011301,86.90783281158416,1.5,0.8337935974671885,257.7554463882665,1.5,0.35385745424043996,267.04603719347745,1.5,0.502829035179624,180.87101519015076,1.0,0.23222057046171468,1.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,No_measures,dikesnet,No_measures,836976081.079484,0,0.0,0.0,0.06090104380576078,0.9282373668756874,0.12780222046000952
24,30.0,121.48334608562504,1.0,0.9492500908388771,99.76215677554262,1.5,0.9818126954975621,92.89096784130265,1.5,0.11823890353394245,142.9676114539019,1.5,0.4732446009111218,248.83032591326997,1.5,0.860152603133113,2.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,No_measures,dikesnet,No_measures,2526504065.2746477,0,0.0,0.0,0.005524307065166828,3.7260752406907693,0.0
25,44.0,159.44010598989453,10,0.789492697064497,105.92485366414365,1.5,0.4433310666984536,327.49715287091755,10,0.1396234116814875,136.29178738424582,10,0.801454863999413,81.28315011507766,1.0,0.32477541183564873,1.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,No_measures,dikesnet,No_measures,2590707999.502119,0,0.0,0.0,0.09041773292230497,3.726622330917107,0.0
26,19.0,202.14879261562774,10,0.8943233374361617,295.92134691385814,10,0.4052882439707454,101.69493699636745,1.5,0.6906975287720866,201.46850313017467,1.0,0.5229169834250443,278.5655439390865,1.5,0.7155675234941968,3.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,No_measures,dikesnet,No_measures,101244150.76601608,0,0.0,0.0,0.12210133104079196,0.0,0.0
